a,1,1,1,3,0,11,2
reg,1,2,2,0,1,12,1
nis,1,1,3,1,0,13,0
cen,1,2,2,0,1,0,16
tum,0,0,5,1,0,1,15
a,1,1,1,0,1,2,14
ras,1,2,1,1,0,3,13
po,1,1,4,0,2,4,12
su,1,0,5,1,1,5,11
it,1,2,3,2,0,6,10
vi,1,1,3,0,3,7,9
gi,1,1,3,1,2,8,8
lem,1,2,2,2,1,9,7
que,1,1,2,3,0,10,6
sac,1,1.5,1,0,3,11,5
ra,1,1,1,1,2,12,4
ve,1,1,2,2,1,13,3
rat,1,1,1,3,0,14,2
ig,1,2,3,0,1,15,1
nem,1,1,2,1,0,16,0
ex,1,3,2,0,3,0,15
cu,1,1,5,1,2,1,14
bi,1,0,3,2,1,2,13
as,1,2,1,3,0,3,12
di,1,1,3,0,1,4,11
vum,0,0,5,1,0,5,10
ae,2,1,7,0,2,6,9
ter,1,2,2,1,1,7,8
nas,1,2,1,2,0,8,7
pe,1,1,2,0,3,9,6
cu,1,1,5,1,2,10,5
dum,1,2,5,2,1,11,4
que,1,2.5,2,3,0,12,3
cru,1,0,5,0,2,13,2
o,1,1,4,0,1,14,1
re,1,0,2,1,0,15,0
pin,1,2,3,0,1,0,16
gue,1,1,2,1,0,1,15
so,1,1,4,0,1,2,14
lum,0,0,5,1,0,3,13
et,1,2,2,0,0,4,12
va,1,1,1,0,2,5,11
ri,1,0,3,1,1,6,10
is,1,3,3,2,0,7,9
flo,1,1,4,0,3,8,8
ren,1,2,2,1,2,9,7
ti,1,0,3,2,1,10,6
a,1,1,1,3,0,11,5
li,1,1,3,0,2,12,4
mi,1,1,3,1,1,13,3
na,1,1,1,2,0,14,2
ser,1,2,2,0,1,15,1
tis,1,1,3,1,0,16,0
is,1,2,3,0,1,0,16
que,0,0,2,1,0,1,15
a,1,1,1,0,1,2,14
mens,1,2,2,1,0,3,13
a,1,1,1,0,2,4,12
ni,1,1,3,1,1,5,11
mi,0,0,3,2,0,6,10
et,1,1.5,2,0,0,7,9
ru,1,1,5,0,2,8,8
mo,1,1,4,1,1,9,7
re,0,0,2,2,0,10,6
ac,1,2,1,0,2,11,5
cen,1,2,2,1,1,12,4
sus,1,1,5,2,0,13,3
a,1,1,1,0,2,14,2
ma,1,1,1,1,1,15,1
ro,1,0,4,2,0,16,0
di,1,1,3,0,2,0,16
ci,1,1,3,1,1,1,15
tur,1,1,5,2,0,2,14
an,1,2,1,0,1,3,13
te,0,0,2,1,0,4,12
a,1,1,1,0,1,5,11
ras,1,2,1,1,0,6,10
me,1,1,2,0,2,7,9
di,1,0,3,1,1,8,8
a,0,0,1,2,0,9,7
in,1,2,3,0,1,10,6
ter,1,2,2,1,0,11,5
nu,1,1,5,0,2,12,4
mi,1,1,3,1,1,13,3
na,1,1,1,2,0,14,2
di,1,1,3,0,1,15,1
vum,1,1,5,1,0,16,0
mul,1,2,5,0,1,0,14
ta,1,1,1,1,0,1,13
jo,1,1,4,0,1,2,12
vem,1,2,2,1,0,3,11
ma,1,1,1,0,2,4,10
ni,1,1,3,1,1,5,9
bus,1,2,5,2,0,6,8
supp,1,2.5,5,0,1,7,7
lex,1,2,2,1,0,8,6
o,1,1,4,0,2,9,5
ras,1,2,1,1,1,10,4
se,1,1,2,2,0,11,3
su,1,1,5,0,2,12,2
pi,1,1,3,1,1,13,1
nis,1,1,3,2,0,14,0
jup,1,2,5,0,2,0,14
pi,1,1,3,1,1,1,13
ter,1,1,2,2,0,2,12
om,1,2,4,0,3,3,11
ni,1,1,3,1,2,4,10
po,1,1,4,2,1,5,9
tens,1,3,2,3,0,6,8
cui,2,1,12,0,0,7,7
nunc,1,3,5,0,0,8,6
mau,2,1,9,0,3,9,5
ru,1,1,5,1,2,10,4
si,1,0,3,2,1,11,3
a,1,1,1,3,0,12,2
pic,1,2,3,0,1,13,1
tis,1,1,3,1,0,14,0
gens,1,2,2,0,0,0,14
e,1,1,2,0,3,1,13
pu,1,1,5,1,2,2,12
la,1,1,1,2,1,3,11
ta,1,1,1,3,0,4,10
to,1,1,4,0,1,5,9
ris,1,2,3,1,0,6,8
le,1,1,2,0,2,7,7
nae,2,0,7,1,1,8,6
um,1,2,5,2,0,9,5
li,1,1,3,0,1,10,4
bat,1,1,1,1,0,11,3
ho,1,1,4,0,2,12,2
no,1,1,4,1,1,13,1
rem,1,1,2,2,0,14,0
as,1,2,1,0,2,0,14
pi,1,1,3,1,1,1,13
cis,1,1,3,2,0,2,12
haec,2,1,7,0,0,3,11
an,1,2,1,0,0,4,10
te,1,1,2,0,0,5,9
ge,1,1,2,0,2,6,8
ni,1,1,3,1,1,7,7
tor,1,2,4,2,0,8,6
cum,1,2,5,0,0,9,5
ful,1,2,5,0,2,10,4
mi,1,1,3,1,1,11,3
na,1,1,1,2,0,12,2
tor,1,2,4,0,1,13,1
ques,1,1,2,1,0,14,0
ne,1,1,2,0,2,0,14
qui,1,1,3,1,1,1,13
quam,0,0,1,2,0,2,12
hor,1,2,4,0,2,3,11
re,1,1,2,1,1,4,10
mus,1,2,5,2,0,5,9
cae,2,1,7,0,2,6,8
ci,1,1,3,1,1,7,7
que,0,0,2,2,0,8,6
in,1,2,3,0,0,9,5
nu,1,1,5,0,2,10,4
bi,1,1,3,1,1,11,3
bus,1,1,5,2,0,12,2
ig,1,2,3,0,1,13,1
nes,1,1,2,1,0,14,0
ter,1,2,2,0,3,0,16
ri,1,1,3,1,2,1,15
fi,1,1,3,2,1,2,14
cant,1,2,1,3,0,3,13
a,1,1,1,0,2,4,12
ni,1,1,3,1,1,5,11
mos,1,1,4,2,0,6,10
et,1,1,2,0,0,7,9
i,1,1,3,0,3,8,8
na,1,1,1,1,2,9,7
ni,1,0,3,2,1,10,6
a,1,1,1,3,0,11,5
mur,1,2,5,0,2,12,4
mu,1,1,5,1,1,13,3
ra,1,1,1,2,0,14,2
mis,1,2,3,0,1,15,1
cent,1,2,2,1,0,16,0
fe,1,1,2,0,2,0,13
mi,1,1,3,1,1,1,12
na,1,1,1,2,0,2,11
quae,2,1,7,0,0,3,10
nost,1,2.5,4,0,1,4,9
ris,1,1,3,1,0,5,8
er,1,2,2,0,1,6,7
rans,1,2,1,1,0,7,6
in,1,2,3,0,0,8,5
fi,1,1,3,0,2,9,4
ni,1,1,3,1,1,10,3
bus,1,1,5,2,0,11,2
ur,1,2,5,0,1,12,1
bem,1,1,2,1,0,13,0
e,1,2,2,0,2,0,14
xi,1,1,3,1,1,1,13
guam,1,2.5,1,2,0,2,12
pre,1,1,2,0,2,3,11
ti,1,0,3,1,1,4,10
o,1,1,4,2,0,5,9
po,1,1,4,0,2,6,8
su,1,0,5,1,1,7,7
it,1,2,3,2,0,8,6
cui,2,1,12,0,0,9,5
li,1,1,3,0,1,10,4
tus,1,1,5,1,0,11,3
a,1,1,1,0,2,12,2
ran,1,2,1,1,1,13,1
dum,1,1,5,2,0,14,0
cui,2,1,12,0,1,0,14
que,1,1,2,1,0,1,13
lo,1,1,4,0,1,2,12
ci,1,1,3,1,0,3,11
le,1,1,2,0,1,4,10
ges,1,2,2,1,0,5,9
de,1,1,2,0,2,6,8
di,1,1,3,1,1,7,7
mus,1,2,5,2,0,8,6
co,1,1,4,0,3,9,5
nu,1,1,5,1,2,10,4
bi,1,0,3,2,1,11,3
a,1,1,1,3,0,12,2
nost,1,2.5,4,0,1,13,1
ra,1,0,1,1,0,14,0
rep,1,2,2,0,2,0,15
pu,1,1,5,1,1,1,14
lit,1,1,3,2,0,2,13
ac,1,2,1,0,0,3,12
do,1,1,4,0,2,4,11
mi,1,1,3,1,1,5,10
num,0,0,5,2,0,6,9
ae,2,1,7,0,2,7,8
ne,1,0,2,1,1,8,7
an,1,1,1,2,0,9,6
in,1,2,3,0,0,10,5
reg,1,2,2,0,1,11,4
na,1,1,1,1,0,12,3
re,1,1,2,0,2,13,2
ce,1,1,2,1,1,14,1
